Well,Date,Description,TR: DMEM/DMSO (uL),TR: FBS (%v/v),TR: DMSO (%v/v),TR: Paclitaxel (uM)
A01,null,null,,,,
A02,null,null,,,,
A03,null,null,,,,
A04,null,null,,,,
A05,null,null,,,,
A06,null,null,,,,
A07,null,null,,,,
A08,null,null,,,,
A09,null,null,,,,
A10,null,null,,,,
A11,null,null,,,,
A12,null,null,,,,
B01,null,null,,,,
B02,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0
B03,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,10
B04,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,5
B05,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,2.5
B06,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,1.25
B07,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.625
B08,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.3125
B09,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.15625
B10,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.078125
B11,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.0390625
B12,null,null,,,,
C01,null,null,,,,
C02,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0
C03,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,10
C04,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,5
C05,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,2.5
C06,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,1.25
C07,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.625
C08,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.3125
C09,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.15625
C10,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.078125
C11,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.0390625
C12,null,null,,,,
D01,null,null,,,,
D02,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0
D03,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,10
D04,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,5
D05,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,2.5
D06,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,1.25
D07,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.625
D08,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.3125
D09,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.15625
D10,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.078125
D11,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.0390625
D12,null,null,,,,
E01,null,null,,,,
E02,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,7.62939E-05
E03,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.000152588
E04,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.000305176
E05,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.000610352
E06,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.001220703
E07,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.002441406
E08,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.004882813
E09,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.009765625
E10,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.01953125
E11,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0
E12,null,null,,,,
F01,null,null,,,,
F02,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,7.62939E-05
F03,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.000152588
F04,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.000305176
F05,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.000610352
F06,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.001220703
F07,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.002441406
F08,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.004882813
F09,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.009765625
F10,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.01953125
F11,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0
F12,null,null,,,,
G01,null,null,,,,
G02,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,7.62939E-05
G03,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.000152588
G04,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.000305176
G05,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.000610352
G06,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.001220703
G07,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.002441406
G08,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.004882813
G09,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.009765625
G10,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0.01953125
G11,1/7/15,MDAMB231 H2BmRFP FUCCImAG Passage 12,250,10,1,0
G12,null,null,,,,
H01,null,null,,,,
H02,null,null,,,,
H03,null,null,,,,
H04,null,null,,,,
H05,null,null,,,,
H06,null,null,,,,
H07,null,null,,,,
H08,null,null,,,,
H09,null,null,,,,
H10,null,null,,,,
H11,null,null,,,,
H12,null,null,,,,
