"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,7.101696e+001,4.928400e+000,4.660000e+002,4.340000e+002,350,1.354865e-001,7.809607e+001,1.312198e+002,1.976569e+001,9.009200e-001,1.144112e+002,1.240000e+000,1.519825e+000,6.893554e-001
2,C,6.411817e+001,4.928400e+000,4.100000e+002,4.740000e+002,316,1.422804e-001,8.072121e+001,1.336520e+002,1.959266e+001,1.123432e+000,1.271006e+002,1.500000e+000,1.512553e+000,7.019623e-001
2,D,7.345183e+001,4.928400e+000,4.420000e+002,5.510000e+002,362,1.444930e-001,8.419333e+001,1.340443e+002,2.206973e+001,1.073217e+000,1.290467e+002,1.522099e+000,1.478189e+000,7.038392e-001
2,E,7.365474e+001,4.928400e+000,4.580000e+002,5.480000e+002,363,1.433988e-001,9.055187e+001,1.338739e+002,2.227422e+001,9.725960e-001,1.295267e+002,1.509642e+000,1.511501e+000,6.966123e-001
2,F,8.765522e+001,4.928400e+000,5.420000e+002,6.090000e+002,432,1.472001e-001,7.806886e+001,1.353320e+002,2.315375e+001,1.030853e+000,1.289424e+002,1.409722e+000,1.499197e+000,6.931264e-001
2,G,6.411817e+001,4.928400e+000,4.430000e+002,4.240000e+002,316,1.322838e-001,7.479652e+001,1.373021e+002,1.909866e+001,1.058112e+000,1.212132e+002,1.341772e+000,1.536200e+000,6.946880e-001
3,B,5.417580e+001,4.928400e+000,3.400000e+002,3.980000e+002,267,1.397974e-001,8.279823e+001,1.305222e+002,1.806092e+001,1.112017e+000,1.241353e+002,1.490637e+000,1.488064e+000,7.003443e-001
3,C,8.075643e+001,4.928400e+000,5.340000e+002,6.130000e+002,398,1.400363e-001,1.004234e+002,1.301408e+002,2.303501e+001,8.573517e-001,1.229724e+002,1.540201e+000,1.466159e+000,7.041137e-001
3,D,1.347293e+002,4.928400e+000,8.350000e+002,1.001000e+003,664,1.411112e-001,8.269828e+001,1.322202e+002,2.230312e+001,1.038400e+000,1.244636e+002,1.507530e+000,1.494507e+000,6.990508e-001
3,E,1.467008e+002,4.928400e+000,9.080000e+002,1.030000e+003,723,1.382018e-001,8.173979e+001,1.316787e+002,2.195274e+001,1.002712e+000,1.212747e+002,1.424620e+000,1.505478e+000,6.909897e-001
3,F,1.002354e+002,4.928400e+000,7.310000e+002,7.670000e+002,494,1.420759e-001,9.680110e+001,1.318784e+002,2.373045e+001,9.320190e-001,1.252695e+002,1.552632e+000,1.490691e+000,7.026191e-001
3,G,6.858210e+001,4.928400e+000,4.050000e+002,5.110000e+002,338,1.433903e-001,8.242769e+001,1.365941e+002,2.237919e+001,1.032688e+000,1.286578e+002,1.511834e+000,1.504927e+000,7.022631e-001
4,B,7.345183e+001,4.928400e+000,4.480000e+002,5.210000e+002,362,1.424078e-001,8.213470e+001,1.305662e+002,2.318784e+001,9.454202e-001,1.208904e+002,1.439227e+000,1.514480e+000,6.852038e-001
