Well,Date,Description,TR: DMEM (uL),TR: FBS (%v/v),TR: DMSO (%v/v),TR: Doxorubicin (nM),TR: Treatment Time (hr)
A01,null,null,,,,,
A02,null,null,,,,,
A03,null,null,,,,,
A04,null,null,,,,,
A05,null,null,,,,,
A06,null,null,,,,,
A07,null,null,,,,,
A08,null,null,,,,,
A09,null,null,,,,,
A10,null,null,,,,,
A11,null,null,,,,,
A12,null,null,,,,,
B01,null,null,,,,,
B02,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,0,4
B03,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,400,4
B04,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,400,4
B05,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,400,4
B06,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,4
B07,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,4
B08,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,4
B09,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,4
B10,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,4
B11,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,4
B12,null,null,,,,,
C01,null,null,,,,,
C02,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,0,4
C03,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,400,4
C04,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,400,4
C05,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,400,4
C06,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,4
C07,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,4
C08,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,4
C09,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,4
C10,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,4
C11,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,4
C12,null,null,,,,,
D01,null,null,,,,,
D02,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,0,4
D03,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,400,4
D04,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,400,4
D05,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,400,4
D06,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,4
D07,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,4
D08,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,4
D09,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,4
D10,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,4
D11,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,4
D12,null,null,,,,,
E01,null,null,,,,,
E02,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,0,8
E03,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,8
E04,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,8
E05,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,8
E06,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,8
E07,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,8
E08,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,8
E09,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,50,8
E10,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,50,8
E11,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,50,8
E12,null,null,,,,,
F01,null,null,,,,,
F02,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,0,8
F03,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,8
F04,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,8
F05,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,8
F06,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,8
F07,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,8
F08,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,8
F09,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,50,8
F10,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,50,8
F11,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,50,8
F12,null,null,,,,,
G01,null,null,,,,,
G02,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,0,8
G03,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,8
G04,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,8
G05,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,200,8
G06,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,8
G07,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,8
G08,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,100,8
G09,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,50,8
G10,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,50,8
G11,4/16/15,MDAMB231 H2BmRFP FUCCImAG Passage 6,250,10,0,50,8
G12,null,null,,,,,
H01,null,null,,,,,
H02,null,null,,,,,
H03,null,null,,,,,
H04,null,null,,,,,
H05,null,null,,,,,
H06,null,null,,,,,
H07,null,null,,,,,
H08,null,null,,,,,
H09,null,null,,,,,
H10,null,null,,,,,
H11,null,null,,,,,
H12,null,null,,,,,
