"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,3.550848e+001,4.928400e+000,2.150000e+002,2.720000e+002,175,1.390261e-001,8.869888e+001,1.352043e+002,1.920505e+001,1.021076e+000,1.291202e+002,1.554286e+000,1.535431e+000,6.815764e-001
2,C,3.997240e+001,4.928400e+000,2.700000e+002,2.880000e+002,197,1.381095e-001,7.788945e+001,1.408360e+002,2.052825e+001,1.123828e+000,1.338110e+002,1.461929e+000,1.490946e+000,6.980555e-001
2,D,3.672592e+001,4.928400e+000,2.200000e+002,2.770000e+002,181,1.374502e-001,8.642796e+001,1.354348e+002,1.884021e+001,1.123460e+000,1.290441e+002,1.530387e+000,1.496145e+000,7.034962e-001
2,E,3.266780e+001,4.928400e+000,2.140000e+002,2.470000e+002,161,1.411560e-001,8.457240e+001,1.393647e+002,1.969457e+001,1.157503e+000,1.315320e+002,1.534161e+000,1.528916e+000,6.957369e-001
2,F,3.692882e+001,4.928400e+000,2.190000e+002,2.620000e+002,182,1.360844e-001,7.878531e+001,1.401684e+002,1.958966e+001,1.054737e+000,1.293027e+002,1.439560e+000,1.512107e+000,6.875346e-001
2,G,2.921841e+001,4.928400e+000,1.960000e+002,2.110000e+002,144,1.374230e-001,8.007196e+001,1.389984e+002,2.261573e+001,1.110894e+000,1.352380e+002,1.465278e+000,1.497192e+000,7.049855e-001
3,B,2.434867e+001,4.928400e+000,1.530000e+002,1.910000e+002,120,1.509080e-001,8.465382e+001,1.388868e+002,2.562750e+001,1.007276e+000,1.295794e+002,1.591667e+000,1.509298e+000,6.975511e-001
3,C,6.229202e+001,4.928400e+000,3.810000e+002,4.920000e+002,307,1.362067e-001,9.343701e+001,1.363806e+002,2.140310e+001,9.542147e-001,1.268181e+002,1.602606e+000,1.511534e+000,6.902989e-001
3,D,1.219463e+002,4.928400e+000,8.480000e+002,8.280000e+002,601,1.104572e-001,8.570080e+001,1.630173e+002,1.287660e+001,8.228494e-001,1.081302e+002,1.377704e+000,1.782880e+000,6.322454e-001
3,E,6.188621e+001,4.928400e+000,3.560000e+002,4.890000e+002,305,1.422585e-001,9.795532e+001,1.376426e+002,2.208742e+001,1.035355e+000,1.318839e+002,1.603279e+000,1.528098e+000,6.928736e-001
3,F,6.777047e+001,4.928400e+000,4.300000e+002,5.090000e+002,334,1.345576e-001,8.082557e+001,1.397712e+002,1.935944e+001,1.066835e+000,1.262895e+002,1.523952e+000,1.551588e+000,6.858579e-001
3,G,3.226199e+001,4.928400e+000,2.000000e+002,2.510000e+002,159,1.441293e-001,8.265061e+001,1.418276e+002,2.353489e+001,1.105039e+000,1.363668e+002,1.578616e+000,1.475830e+000,7.013542e-001
4,B,4.159565e+001,4.928400e+000,2.850000e+002,3.020000e+002,205,1.399651e-001,8.226556e+001,1.373318e+002,2.422908e+001,1.020378e+000,1.317426e+002,1.473171e+000,1.537425e+000,6.955544e-001
