Column,Row,Cell Nuclei / mm^2,Evaluated Area [mm^2],Estimated Total Cell Count,Total Granule Count,Cell Nucleus,Contrast,Size [um^2],Intensity,Roughness,Granularity,Granule Intensity,Granule Count,Longishness,Compactness
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
Timespan (h):,0,,,,,,,,,,,,,,
2,B,7.61E+01,4.93E+00,4.19E+02,6.21E+02,375,1.75E-01,9.16E+01,1.44E+02,3.54E+01,1.16E+00,1.50E+02,1.66E+00,1.49E+00,7.08E-01
2,C,3.77E+01,4.93E+00,2.06E+02,3.01E+02,186,1.62E-01,8.99E+01,1.43E+02,3.25E+01,1.19E+00,1.53E+02,1.62E+00,1.44E+00,7.19E-01
2,D,2.27E+01,4.93E+00,1.30E+02,1.85E+02,112,1.54E-01,8.41E+01,1.43E+02,3.06E+01,1.33E+00,1.55E+02,1.65E+00,1.43E+00,7.20E-01
2,E,1.52E+01,4.93E+00,8.50E+01,1.13E+02,75,1.60E-01,9.18E+01,1.46E+02,3.37E+01,1.09E+00,1.48E+02,1.51E+00,1.44E+00,7.36E-01
2,F,1.87E+01,4.93E+00,1.16E+02,1.59E+02,92,1.69E-01,9.72E+01,1.48E+02,3.31E+01,1.20E+00,1.63E+02,1.73E+00,1.50E+00,7.10E-01
2,G,2.90E+01,4.93E+00,1.79E+02,2.31E+02,143,1.58E-01,9.64E+01,1.46E+02,2.87E+01,1.15E+00,1.49E+02,1.62E+00,1.47E+00,7.02E-01
3,B,5.21E+01,4.93E+00,3.06E+02,4.01E+02,257,1.58E-01,9.37E+01,1.41E+02,3.26E+01,1.06E+00,1.40E+02,1.56E+00,1.43E+00,7.26E-01
3,C,3.79E+01,4.93E+00,2.09E+02,3.15E+02,187,1.61E-01,9.56E+01,1.44E+02,2.86E+01,1.03E+00,1.41E+02,1.68E+00,1.48E+00,7.01E-01
3,D,2.37E+01,4.93E+00,1.58E+02,1.62E+02,117,1.47E-01,8.16E+01,1.40E+02,2.17E+01,1.02E+00,1.30E+02,1.38E+00,1.55E+00,6.87E-01
3,E,3.43E+01,4.93E+00,1.95E+02,2.83E+02,169,1.61E-01,9.70E+01,1.44E+02,2.80E+01,1.17E+00,1.47E+02,1.67E+00,1.47E+00,7.13E-01
3,F,5.46E+01,4.93E+00,2.92E+02,4.60E+02,269,1.56E-01,9.99E+01,1.46E+02,2.68E+01,1.02E+00,1.45E+02,1.71E+00,1.52E+00,6.96E-01
3,G,2.84E+01,4.93E+00,1.65E+02,2.51E+02,140,1.48E-01,1.11E+02,1.47E+02,2.30E+01,9.99E-01,1.41E+02,1.79E+00,1.52E+00,6.98E-01
4,B,1.24E+01,4.93E+00,7.20E+01,1.07E+02,61,1.64E-01,1.01E+02,1.42E+02,2.15E+01,1.01E+00,1.47E+02,1.75E+00,1.49E+00,6.89E-01
4,C,2.74E+01,4.93E+00,1.71E+02,2.45E+02,135,1.68E-01,1.09E+02,1.41E+02,3.30E+01,9.57E-01,1.46E+02,1.81E+00,1.45E+00,7.03E-01
