"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,4.200146e+001,4.928400e+000,2.670000e+002,4.450000e+002,207,1.540999e-001,1.548456e+002,1.195570e+002,2.598717e+001,7.283045e-001,1.279018e+002,2.149758e+000,1.466780e+000,7.046012e-001
2,C,3.246490e+001,4.928400e+000,2.090000e+002,4.030000e+002,160,1.842731e-001,1.638177e+002,1.271409e+002,3.379706e+001,8.277614e-001,1.449817e+002,2.518750e+000,1.517582e+000,7.083580e-001
2,D,4.362471e+001,4.928400e+000,2.870000e+002,5.160000e+002,215,1.611650e-001,1.562858e+002,1.246575e+002,2.853298e+001,8.140911e-001,1.372747e+002,2.400000e+000,1.495711e+000,7.116661e-001
2,E,3.469686e+001,4.928400e+000,1.970000e+002,4.610000e+002,171,1.641077e-001,1.708523e+002,1.268358e+002,2.809288e+001,8.560297e-001,1.450740e+002,2.695906e+000,1.433466e+000,7.355194e-001
2,F,4.890025e+001,4.928400e+000,2.920000e+002,6.170000e+002,241,1.664248e-001,1.637793e+002,1.279864e+002,3.408421e+001,8.362051e-001,1.461962e+002,2.560166e+000,1.471831e+000,7.283814e-001
2,G,4.342180e+001,4.928400e+000,2.660000e+002,5.780000e+002,214,1.521816e-001,1.918471e+002,1.294104e+002,2.464882e+001,7.649398e-001,1.464789e+002,2.700935e+000,1.473953e+000,7.276739e-001
3,B,4.159565e+001,4.928400e+000,2.660000e+002,5.000000e+002,205,1.541652e-001,1.742956e+002,1.197619e+002,2.560235e+001,7.503124e-001,1.308934e+002,2.439024e+000,1.488626e+000,7.169947e-001
3,C,5.924844e+001,4.928400e+000,3.540000e+002,7.080000e+002,292,1.598803e-001,1.553605e+002,1.233411e+002,2.955263e+001,8.308357e-001,1.373277e+002,2.424658e+000,1.484316e+000,7.091080e-001
3,D,6.553851e+001,4.928400e+000,4.090000e+002,7.800000e+002,323,1.592328e-001,1.584740e+002,1.239012e+002,2.584318e+001,8.259975e-001,1.395609e+002,2.414861e+000,1.466668e+000,7.277427e-001
3,E,1.166707e+002,4.928400e+000,6.680000e+002,1.501000e+003,575,1.673394e-001,1.697227e+002,1.262720e+002,2.997773e+001,8.305273e-001,1.420309e+002,2.610435e+000,1.470179e+000,7.155555e-001
3,F,1.024673e+002,4.928400e+000,6.290000e+002,1.214000e+003,505,1.633976e-001,1.580895e+002,1.255909e+002,2.865075e+001,8.189348e-001,1.407644e+002,2.403960e+000,1.454981e+000,7.231763e-001
3,G,1.077429e+002,4.928400e+000,6.850000e+002,1.324000e+003,531,1.634927e-001,1.537605e+002,1.316637e+002,3.183180e+001,8.812012e-001,1.490302e+002,2.493409e+000,1.446805e+000,7.328516e-001
4,B,7.568379e+001,4.928400e+000,4.800000e+002,8.850000e+002,373,1.653036e-001,1.488907e+002,1.233241e+002,3.274067e+001,8.577374e-001,1.390135e+002,2.372654e+000,1.494247e+000,7.157762e-001
