"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,3.266780e+001,4.928400e+000,1.620000e+002,1.468000e+003,161,4.042391e-001,7.035536e+002,1.083117e+002,3.344047e+001,6.859037e-001,1.425403e+002,9.118012e+000,1.469895e+000,6.986536e-001
2,C,3.794335e+001,4.928400e+000,1.870000e+002,1.642000e+003,187,3.757702e-001,7.303290e+002,1.058775e+002,2.874338e+001,6.365466e-001,1.399877e+002,8.780749e+000,1.378389e+000,6.865905e-001
2,D,2.840679e+001,4.928400e+000,1.400000e+002,1.324000e+003,140,3.809563e-001,8.199006e+002,1.055938e+002,2.727653e+001,6.054336e-001,1.407011e+002,9.457143e+000,1.387709e+000,6.832709e-001
2,E,3.327652e+001,4.928400e+000,1.640000e+002,1.584000e+003,164,3.956012e-001,7.409740e+002,1.104116e+002,3.227273e+001,7.116446e-001,1.455266e+002,9.658537e+000,1.463294e+000,6.978096e-001
2,F,3.916078e+001,4.928400e+000,1.930000e+002,1.769000e+003,193,4.078298e-001,7.145893e+002,1.104809e+002,3.392544e+001,6.818159e-001,1.477898e+002,9.165803e+000,1.463033e+000,6.952804e-001
2,G,2.130509e+001,4.928400e+000,1.050000e+002,9.310000e+002,105,3.918827e-001,7.772554e+002,1.069564e+002,2.819221e+001,6.237831e-001,1.433138e+002,8.866667e+000,1.426882e+000,7.043062e-001
3,B,2.475448e+001,4.928400e+000,1.220000e+002,1.089000e+003,122,3.958313e-001,6.976036e+002,1.081387e+002,3.174401e+001,7.074227e-001,1.420923e+002,8.926230e+000,1.416907e+000,6.921968e-001
3,C,3.023294e+001,4.928400e+000,1.500000e+002,1.339000e+003,149,4.074300e-001,7.187981e+002,1.105162e+002,3.437162e+001,6.688541e-001,1.480400e+002,8.986577e+000,1.422421e+000,6.983055e-001
3,D,3.063875e+001,4.928400e+000,1.510000e+002,1.351000e+003,151,3.870625e-001,7.131165e+002,1.063303e+002,3.047030e+001,6.722774e-001,1.411926e+002,8.947020e+000,1.442998e+000,6.977082e-001
3,E,3.165327e+001,4.928400e+000,1.570000e+002,1.477000e+003,156,3.946778e-001,8.059413e+002,1.050500e+002,2.847412e+001,6.312714e-001,1.402869e+002,9.467949e+000,1.421357e+000,6.900342e-001
3,F,3.043584e+001,4.928400e+000,1.500000e+002,1.464000e+003,150,3.914037e-001,8.240160e+002,1.057391e+002,2.886274e+001,6.178971e-001,1.404833e+002,9.760000e+000,1.434562e+000,6.765020e-001
3,G,2.211671e+001,4.928400e+000,1.090000e+002,1.020000e+003,109,3.910530e-001,7.188548e+002,1.060679e+002,2.988700e+001,7.031082e-001,1.399799e+002,9.357798e+000,1.490783e+000,6.911193e-001
4,B,2.008766e+001,4.928400e+000,9.900000e+001,9.480000e+002,99,3.839614e-001,8.626693e+002,1.016791e+002,2.538276e+001,6.125601e-001,1.367030e+002,9.575758e+000,1.526445e+000,6.625077e-001
