Well,Date,Description,TR: F12 (uL),TR: FBS (%v/v),TR: DMSO (%v/v),TR: Doxorubicin (nM),TR: Treatment Time (hr)
A01,null,null,,,,,
A02,null,null,,,,,
A03,null,null,,,,,
A04,null,null,,,,,
A05,null,null,,,,,
A06,null,null,,,,,
A07,null,null,,,,,
A08,null,null,,,,,
A09,null,null,,,,,
A10,null,null,,,,,
A11,null,null,,,,,
A12,null,null,,,,,
B01,null,null,,,,,
B02,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,2500,12
B03,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,1250,12
B04,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,625,12
B05,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,312.5,12
B06,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,156.25,12
B07,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,78.125,12
B08,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,39.0625,12
B09,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,19.53125,12
B10,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,9.765625,12
B11,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,0,12
B12,null,null,,,,,
C01,null,null,,,,,
C02,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,2500,12
C03,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,1250,12
C04,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,625,12
C05,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,312.5,12
C06,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,156.25,12
C07,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,78.125,12
C08,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,39.0625,12
C09,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,19.53125,12
C10,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,9.765625,12
C11,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,0,12
C12,null,null,,,,,
D01,null,null,,,,,
D02,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,2500,12
D03,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,1250,12
D04,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,625,12
D05,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,312.5,12
D06,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,156.25,12
D07,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,78.125,12
D08,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,39.0625,12
D09,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,19.53125,12
D10,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,9.765625,12
D11,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,0,12
D12,null,null,,,,,
E01,null,null,,,,,
E02,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,2500,12
E03,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,1250,12
E04,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,625,12
E05,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,312.5,12
E06,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,156.25,12
E07,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,78.125,12
E08,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,39.0625,12
E09,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,19.53125,12
E10,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,9.765625,12
E11,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,0,12
E12,null,null,,,,,
F01,null,null,,,,,
F02,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,2500,12
F03,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,1250,12
F04,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,625,12
F05,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,312.5,12
F06,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,156.25,12
F07,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,78.125,12
F08,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,39.0625,12
F09,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,19.53125,12
F10,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,9.765625,12
F11,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,0,12
F12,null,null,,,,,
G01,null,null,,,,,
G02,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,2500,12
G03,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,1250,12
G04,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,625,12
G05,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,312.5,12
G06,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,156.25,12
G07,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,78.125,12
G08,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,39.0625,12
G09,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,19.53125,12
G10,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,9.765625,12
G11,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,0,12
G12,null,null,,,,,
H01,null,null,,,,,
H02,null,null,,,,,
H03,null,null,,,,,
H04,null,null,,,,,
H05,null,null,,,,,
H06,null,null,,,,,
H07,null,null,,,,,
H08,null,null,,,,,
H09,null,null,,,,,
H10,null,null,,,,,
H11,null,null,,,,,
H12,null,null,,,,,
