"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,3.695781e+001,1.149960e+001,4.690000e+002,0.000000e+000,425,2.519525e-001,1.792030e+002,7.094305e+001,2.643564e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.309171e+000,7.689818e-001
2,C,5.061046e+001,1.149960e+001,6.240000e+002,0.000000e+000,582,2.458496e-001,1.847095e+002,7.230351e+001,2.577142e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.327595e+000,7.743847e-001
2,D,4.643640e+001,1.149960e+001,5.710000e+002,0.000000e+000,534,2.511113e-001,1.970644e+002,7.199214e+001,2.424413e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.321635e+000,7.698352e-001
2,E,3.513166e+001,1.149960e+001,4.280000e+002,0.000000e+000,404,2.503031e-001,1.769630e+002,7.338698e+001,2.526905e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.334435e+000,7.672038e-001
2,F,3.660997e+001,1.149960e+001,4.550000e+002,0.000000e+000,421,2.602117e-001,2.023891e+002,7.353631e+001,2.752514e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.314742e+000,7.655374e-001
2,G,3.652301e+001,1.149960e+001,4.540000e+002,0.000000e+000,420,2.560195e-001,1.929536e+002,7.591847e+001,2.757988e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.331992e+000,7.767162e-001
3,B,4.608856e+001,1.149960e+001,5.720000e+002,0.000000e+000,530,2.507614e-001,1.898786e+002,7.129284e+001,2.560482e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.322116e+000,7.672049e-001
3,C,4.278410e+001,1.149960e+001,5.310000e+002,0.000000e+000,492,2.528914e-001,1.960504e+002,7.185227e+001,2.566923e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.309952e+000,7.709284e-001
3,D,5.382796e+001,1.149960e+001,6.640000e+002,0.000000e+000,619,2.515658e-001,2.018212e+002,7.217178e+001,2.545781e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.312047e+000,7.702507e-001
3,E,6.017601e+001,1.149960e+001,7.410000e+002,0.000000e+000,692,2.539044e-001,1.925172e+002,7.341929e+001,2.600297e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.323487e+000,7.744802e-001
3,F,5.087133e+001,1.149960e+001,6.340000e+002,0.000000e+000,585,2.596871e-001,2.071717e+002,7.350182e+001,2.548082e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.331045e+000,7.666287e-001
3,G,4.843647e+001,1.149960e+001,6.130000e+002,0.000000e+000,557,2.601396e-001,1.940134e+002,7.587891e+001,2.905087e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.332098e+000,7.724603e-001
4,B,4.234930e+001,1.149960e+001,5.230000e+002,0.000000e+000,487,2.637513e-001,1.934628e+002,7.199052e+001,2.792857e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.308989e+000,7.687727e-001
