"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,1.048732e+002,1.149960e+001,1.357000e+003,3.975000e+003,1206,2.367238e-001,1.985240e+002,1.401554e+002,5.562695e+001,8.964143e-001,1.708550e+002,3.296020e+000,1.293145e+000,7.885074e-001
2,C,8.582907e+001,1.149960e+001,1.112000e+003,3.138000e+003,987,2.292362e-001,2.187221e+002,1.372731e+002,4.620227e+001,7.909320e-001,1.678550e+002,3.179331e+000,1.287699e+000,7.742015e-001
3,B,6.617621e+001,1.149960e+001,8.550000e+002,2.520000e+003,761,2.397815e-001,1.815124e+002,1.411764e+002,5.118860e+001,9.792720e-001,1.708562e+002,3.311432e+000,1.322387e+000,7.932252e-001
3,C,6.869804e+001,1.149960e+001,8.790000e+002,2.612000e+003,790,2.377880e-001,1.785518e+002,1.407923e+002,5.799356e+001,9.978589e-001,1.724859e+002,3.306329e+000,1.279956e+000,7.973987e-001
4,B,7.687224e+001,1.149960e+001,9.750000e+002,2.934000e+003,884,2.419780e-001,1.867689e+002,1.411102e+002,5.700789e+001,9.616860e-001,1.717725e+002,3.319005e+000,1.310373e+000,7.955306e-001
4,C,9.591638e+001,1.149960e+001,1.216000e+003,3.603000e+003,1103,2.332636e-001,2.047282e+002,1.377973e+002,4.935335e+001,8.630578e-001,1.678417e+002,3.266546e+000,1.309954e+000,7.829814e-001
5,B,9.626422e+001,1.149960e+001,1.206000e+003,3.884000e+003,1107,2.451573e-001,1.961687e+002,1.427198e+002,6.025316e+001,9.835323e-001,1.745248e+002,3.508582e+000,1.304246e+000,7.901580e-001
5,C,8.843786e+001,1.149960e+001,1.106000e+003,3.609000e+003,1017,2.492929e-001,1.889042e+002,1.428495e+002,6.387721e+001,1.017512e+000,1.757718e+002,3.548673e+000,1.319262e+000,7.892878e-001





2
Timespan (h):, 21.7061
2,B,1.200911e+002,1.149960e+001,1.536000e+003,5.004000e+003,1381,2.406697e-001,1.994609e+002,1.402670e+002,5.708757e+001,9.932436e-001,1.713771e+002,3.623461e+000,1.369990e+000,7.751378e-001
2,C,1.145257e+002,1.149960e+001,1.472000e+003,4.706000e+003,1317,2.418306e-001,2.010510e+002,1.406984e+002,5.503179e+001,9.679323e-001,1.719109e+002,3.573273e+000,1.337107e+000,7.849670e-001
3,B,8.295941e+001,1.149960e+001,1.066000e+003,3.394000e+003,954,2.390793e-001,1.986452e+002,1.391504e+002,5.376695e+001,9.734403e-001,1.695753e+002,3.557652e+000,1.340942e+000,7.803206e-001
3,C,8.269853e+001,1.149960e+001,1.068000e+003,3.375000e+003,951,2.392606e-001,2.215582e+002,1.366182e+002,4.904877e+001,8.762554e-001,1.666036e+002,3.548896e+000,1.332273e+000,7.748840e-001
4,B,1.004383e+002,1.149960e+001,1.289000e+003,4.127000e+003,1155,2.341820e-001,2.058738e+002,1.383457e+002,4.866681e+001,9.372425e-001,1.669404e+002,3.573160e+000,1.345125e+000,7.860975e-001
4,C,1.264392e+002,1.149960e+001,1.613000e+003,5.269000e+003,1454,2.351018e-001,2.104462e+002,1.384694e+002,4.962399e+001,9.232887e-001,1.680563e+002,3.623796e+000,1.340271e+000,7.828773e-001
5,B,1.175693e+002,1.149960e+001,1.490000e+003,5.095000e+003,1352,2.383496e-001,2.218146e+002,1.406702e+002,5.160452e+001,9.198252e-001,1.693418e+002,3.768491e+000,1.355495e+000,7.824694e-001
5,C,1.150475e+002,1.149960e+001,1.444000e+003,5.055000e+003,1323,2.473670e-001,2.067743e+002,1.415634e+002,5.646563e+001,9.910593e-001,1.730196e+002,3.820862e+000,1.364102e+000,7.863878e-001
