Column,Row,Cell Nuclei / mm^2,Evaluated Area [mm^2],Estimated Total Cell Count,Total Granule Count,Cell Nucleus,Contrast,Size [um^2],Intensity,Roughness,Granularity,Granule Intensity,Granule Count,Longishness,Compactness
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
Timespan (h):,0,,,,,,,,,,,,,,
2,B,2.30E+01,1.15E+01,2.83E+02,8.93E+02,264,2.55E-01,1.88E+02,1.36E+02,5.61E+01,9.76E-01,1.65E+02,3.38E+00,1.27E+00,8.00E-01
2,C,3.17E+01,1.15E+01,3.92E+02,1.21E+03,364,2.60E-01,1.86E+02,1.39E+02,6.16E+01,9.50E-01,1.72E+02,3.32E+00,1.28E+00,8.00E-01
2,D,3.31E+01,1.15E+01,4.17E+02,1.26E+03,381,2.55E-01,1.71E+02,1.39E+02,5.69E+01,1.02E+00,1.72E+02,3.31E+00,1.25E+00,8.06E-01
2,E,2.94E+01,1.15E+01,3.63E+02,1.17E+03,338,2.68E-01,1.91E+02,1.42E+02,6.20E+01,1.03E+00,1.77E+02,3.45E+00,1.25E+00,8.01E-01
2,F,3.53E+01,1.15E+01,4.24E+02,1.40E+03,406,2.67E-01,1.85E+02,1.42E+02,6.35E+01,9.94E-01,1.76E+02,3.45E+00,1.29E+00,7.97E-01
2,G,2.90E+01,1.15E+01,3.54E+02,1.13E+03,333,2.64E-01,1.81E+02,1.41E+02,6.15E+01,9.93E-01,1.74E+02,3.39E+00,1.27E+00,7.95E-01
3,B,4.18E+01,1.15E+01,5.18E+02,1.62E+03,481,2.66E-01,1.81E+02,1.38E+02,6.69E+01,9.91E-01,1.73E+02,3.36E+00,1.27E+00,8.00E-01
3,C,3.58E+01,1.15E+01,4.51E+02,1.42E+03,412,2.65E-01,1.84E+02,1.39E+02,6.30E+01,1.00E+00,1.73E+02,3.45E+00,1.28E+00,7.99E-01
3,D,6.03E+01,1.15E+01,7.39E+02,2.48E+03,694,2.65E-01,1.89E+02,1.40E+02,6.27E+01,1.02E+00,1.73E+02,3.58E+00,1.30E+00,7.96E-01
3,E,4.50E+01,1.15E+01,8.54E+02,1.88E+03,518,2.66E-01,1.90E+02,1.40E+02,6.08E+01,1.02E+00,1.74E+02,3.63E+00,1.27E+00,7.99E-01
3,F,4.46E+01,1.15E+01,5.47E+02,1.83E+03,513,2.59E-01,1.83E+02,1.41E+02,6.05E+01,1.04E+00,1.74E+02,3.56E+00,1.26E+00,8.01E-01
3,G,3.43E+01,1.15E+01,4.15E+02,1.38E+03,395,2.71E-01,1.86E+02,1.43E+02,6.31E+01,1.03E+00,1.77E+02,3.48E+00,1.28E+00,8.00E-01
4,B,2.94E+01,1.15E+01,3.66E+02,1.18E+03,338,2.71E-01,1.91E+02,1.38E+02,6.48E+01,9.77E-01,1.72E+02,3.49E+00,1.28E+00,7.95E-01
4,C,4.34E+01,1.15E+01,5.47E+02,1.62E+03,499,2.63E-01,1.83E+02,1.39E+02,6.16E+01,9.74E-01,1.73E+02,3.25E+00,1.29E+00,7.96E-01
