"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,2.304428e+001,1.149960e+001,2.660000e+002,1.081000e+003,265,2.840744e-001,3.222290e+002,1.108422e+002,3.717561e+001,6.748338e-001,1.394229e+002,4.079245e+000,1.441542e+000,7.367219e-001
2,C,3.269679e+001,1.149960e+001,3.780000e+002,1.330000e+003,376,3.211746e-001,2.398156e+002,1.183420e+002,5.860913e+001,7.928967e-001,1.550539e+002,3.537234e+000,1.428748e+000,7.613092e-001
2,D,3.556645e+001,1.149960e+001,4.110000e+002,1.534000e+003,409,3.289393e-001,2.396956e+002,1.212923e+002,6.351084e+001,8.399444e-001,1.573419e+002,3.750611e+000,1.494720e+000,7.497168e-001
2,E,2.652266e+001,1.149960e+001,3.080000e+002,1.160000e+003,305,3.181904e-001,2.872311e+002,1.155899e+002,4.958940e+001,7.233713e-001,1.524026e+002,3.803279e+000,1.452397e+000,7.438858e-001
2,F,2.373996e+001,1.149960e+001,2.730000e+002,9.700000e+002,273,2.948802e-001,2.831072e+002,1.129130e+002,4.315148e+001,6.604674e-001,1.438230e+002,3.553114e+000,1.481154e+000,7.414194e-001
2,G,2.052245e+001,1.149960e+001,2.390000e+002,8.780000e+002,236,3.312227e-001,2.438912e+002,1.208509e+002,6.436537e+001,8.399669e-001,1.601894e+002,3.720339e+000,1.427039e+000,7.542593e-001
3,B,2.791401e+001,1.149960e+001,3.250000e+002,1.159000e+003,321,3.128057e-001,2.518737e+002,1.163158e+002,5.723539e+001,8.109664e-001,1.522840e+002,3.610592e+000,1.420745e+000,7.539276e-001
3,C,4.730599e+001,1.149960e+001,5.450000e+002,2.263000e+003,544,3.361738e-001,2.473623e+002,1.226933e+002,6.556812e+001,8.909585e-001,1.597923e+002,4.159926e+000,1.475451e+000,7.542320e-001
3,D,3.721869e+001,1.149960e+001,4.300000e+002,1.668000e+003,428,3.489315e-001,2.331351e+002,1.213809e+002,6.802572e+001,8.929639e-001,1.602363e+002,3.897196e+000,1.462328e+000,7.585685e-001
3,E,4.808863e+001,1.149960e+001,6.110000e+002,2.364000e+003,553,3.436666e-001,2.561950e+002,1.222092e+002,6.961351e+001,9.075458e-001,1.608048e+002,4.274864e+000,1.529284e+000,7.435590e-001
3,F,3.400118e+001,1.149960e+001,3.950000e+002,1.568000e+003,391,3.462008e-001,2.415410e+002,1.230721e+002,6.902279e+001,8.959038e-001,1.634025e+002,4.010230e+000,1.439313e+000,7.613545e-001
3,G,3.478382e+001,1.149960e+001,4.010000e+002,1.508000e+003,400,3.160271e-001,2.535567e+002,1.189423e+002,5.630514e+001,7.861351e-001,1.536594e+002,3.770000e+000,1.470772e+000,7.505373e-001
4,B,2.487043e+001,1.149960e+001,2.890000e+002,1.041000e+003,286,3.002978e-001,2.691832e+002,1.147429e+002,5.341203e+001,7.326518e-001,1.478344e+002,3.639860e+000,1.450831e+000,7.423680e-001
