Well,CellCount,MeanCellArea
1,,
Timespan(h):,0.0,
B02,504,273.29
B03,629,282.07
B04,559,292.98
B05,661,283.69
B06,490,291.35
B07,503,303.66
B08,610,287.59
B09,613,289.96
B10,670,277.83
B11,543,287.93
C02,669,290.99
C03,603,280.1
C04,703,286.5
C05,713,289.98
C06,662,283.61
C07,651,294.9
C08,711,285.22
C09,687,294.15
C10,716,290.49
C11,590,285.01
D02,632,290.76
D03,728,298.51
D04,678,296.51
D05,694,288.68
D06,685,282.35
D07,763,294.15
D08,734,276.07
D09,753,273.76
D10,882,285.23
D11,638,294.11
E02,436,291.33
E03,814,292.49
E04,769,290.19
E05,726,281.72
E06,623,279.8
E07,815,281.84
E08,756,294.35
E09,652,289.03
E10,757,302.61
E11,691,289.21
F02,515,287.15
F03,719,287.93
F04,694,295.84
F05,743,286.73
F06,736,289.07
F07,743,291.34
F08,593,295.42
F09,834,291.35
F10,767,290.36
F11,678,304.94
G02,491,300.29
G03,675,296.17
G04,710,290.87
G05,852,289.7
G06,485,298.88
G07,669,285.88
G08,539,283.18
G09,497,287.51
G10,525,294.52
G11,608,284.79
2,,
Timespan(h):,23.9375,
B02,929,274.35
B03,1232,281.67
B04,1105,284.25
B05,1304,277.49
B06,917,288.18
B07,970,288.94
B08,1160,294.82
B09,1143,276.9
B10,1253,281.29
B11,1038,296.47
C02,1299,286.92
C03,1099,284.05
C04,1361,276.58
C05,1385,288.04
C06,1285,275.17
C07,1249,301.46
C08,1367,286.07
C09,1351,297.02
C10,1361,290.32
C11,1126,277.89
D02,1237,289.0
D03,1354,296.69
D04,1351,290.65
D05,1322,283.0
D06,1361,278.88
D07,1432,291.81
D08,1362,279.41
D09,1441,278.2
D10,1603,297.56
D11,1215,300.15
E02,906,279.59
E03,1623,287.15
E04,1443,291.36
E05,1408,280.9
E06,1184,282.76
E07,1562,284.66
E08,1492,284.84
E09,1261,289.73
E10,1506,289.7
E11,1325,290.01
F02,985,274.15
F03,1363,281.86
F04,1378,285.59
F05,1458,283.67
F06,1480,285.82
F07,1434,288.42
F08,1194,286.51
F09,1727,278.46
F10,1469,290.86
F11,1357,288.53
G02,865,304.06
G03,1279,289.61
G04,1402,276.75
G05,1623,289.39
G06,879,297.75
G07,1288,291.82
G08,1016,283.13
G09,905,293.52
G10,1030,284.13
G11,1150,284.57
3,,
Timespan(h):,46.0086,
B02,1747,280.08
B03,2097,290.41
B04,1902,294.66
B05,2311,279.93
B06,1594,301.76
B07,1763,284.03
B08,2120,285.53
B09,2039,287.97
B10,2267,276.99
B11,1836,306.39
C02,2344,283.01
C03,1927,281.28
C04,2416,286.7
C05,2428,291.75
C06,2256,281.23
