Well,CellCount,MeanCellArea
1,,
Timespan(h):,0.0,
B02,417,314.71
B03,591,323.17
B04,539,329.99
B05,662,303.06
B06,690,316.3
B07,798,304.66
B08,702,312.56
B09,1099,318.34
B10,993,300.44
B11,1182,316.24
C02,541,311.15
C03,916,301.8
C04,912,314.95
C05,727,327.98
C06,959,308.41
C07,1111,290.81
C08,1209,286.98
C09,1082,321.92
C10,1103,315.75
C11,1471,302.85
D02,775,319.59
D03,756,309.19
D04,994,299.2
D05,1093,302.49
D06,987,308.84
D07,901,301.01
D08,1227,286.63
D09,995,275.57
D10,1237,303.73
D11,858,307.29
E02,753,308.96
E03,1106,283.82
E04,1138,285.61
E05,789,243.47
E06,1063,298.05
E07,1111,279.06
E08,1135,266.62
E09,1157,293.03
E10,1338,247.31
E11,856,321.87
F02,766,309.61
F03,1097,302.81
F04,1127,284.33
F05,1153,289.36
F06,946,286.0
F07,1145,250.75
F08,1150,285.02
F09,1234,298.4
F10,1211,284.91
F11,1277,292.87
G02,688,320.02
G03,731,306.92
G04,989,308.42
G05,1182,271.87
G06,784,272.41
G07,970,285.29
G08,1151,323.46
G09,1194,298.26
G10,996,317.34
G11,1258,288.48
2,,
Timespan(h):,19.8433,
B02,594,295.86
B03,848,303.97
B04,778,298.09
B05,924,291.68
B06,959,301.66
B07,1073,303.16
B08,1015,297.42
B09,1614,279.58
B10,1349,312.12
B11,1650,299.96
C02,793,296.84
C03,1375,273.61
C04,1238,317.33
C05,1018,315.32
C06,1332,302.15
C07,1505,291.8
C08,1734,271.6
C09,1544,290.13
C10,1531,295.73
C11,2111,278.59
D02,1099,307.47
D03,1099,278.67
D04,1424,296.55
D05,1598,279.76
D06,1448,266.64
D07,1302,290.34
D08,1728,293.71
D09,1333,244.15
D10,1737,297.8
D11,1229,281.86
E02,1070,289.74
E03,1596,249.45
E04,1599,278.91
E05,1149,245.55
E06,1556,278.72
E07,1533,256.39
E08,1650,235.61
E09,1659,245.45
E10,1795,233.77
E11,1284,282.53
F02,1113,293.68
F03,1550,260.45
F04,1513,291.81
F05,1599,284.53
F06,1348,274.68
F07,1657,238.09
F08,1621,286.47
F09,1730,270.08
F10,1696,296.47
F11,1759,292.52
G02,1012,295.11
G03,985,311.04
G04,1286,302.29
G05,1639,278.56
G06,1118,269.24
G07,1428,280.27
G08,1692,275.89
G09,1610,310.42
G10,1412,296.49
G11,1800,248.93
3,,
Timespan(h):,43.7294,
B02,826,288.2
B03,1202,303.38
B04,1087,307.09
B05,1324,298.78
B06,1459,286.03
B07,1572,295.08
B08,1402,298.77
B09,2309,285.9
B10,1977,301.68
B11,2431,279.7
C02,1057,309.73
C03,1837,310.65
